Źródło,Nazwa,NazwaPL,Cecha,Min. Ręka,Rzucanie,Czas,Zasięg,Opis,As,Para,Para Figur,Dwie Pary,Trójka,Strit,Kolor,Ful,Kareta,Poker,Królewski Poker
Podstawka,Geyser,Gejzer,Wiedza,Para,3,Działa 1 rundę,Zasięg 20 jardów/H,"Po rzuceniu Kanta z ziemi wytryska gejzer, o wysokości 5 jardów i szerokości jarda. Każdy kto stoi na gejzerze otrzymuje obrażenia, każdy w promieniu 3 jardów połowę obrażeń. Erupcja poprzedzona jest drżeniem ziemi, każdy kto chce uniknąć gejzeru musi wykonać test Nimbleness (PT 7), by przenieść się ze sfery pełnych obrażeń do sfery połowy obrażeń, lub uniknąć obrażeń całkowicie gdys toi w strefie połowy obrażeń.",-,4k4,4k4,5k6,6k6,6k8,7k10,8k10,9k10,10k12,11k12
Podstawka,Ghost Rider,Upiorny Jeździec,Duch,Para Figur,minuta,Działa 1 godzinę/H,Dotyk,"Przyzywa ducha konia. Jazda na tym wierzchowcu nigdy nie wymaga testów Horse Ridin', może go też dosiąść tylko Kanciarz. Zjawa ma statsy jak zwykły koń, poza tym, że ma Tempo 24, Ducha 2k8, nie umie walczyć, i znika po otrzymaniu pojedynczej rany. Co więcej, wszystkie próby wytropienia konia mają karę -2.",,,,,,,,,,,
Podstawka,Ghost Trail,Upiorny Szlak,Spryt,As,1,Działa 1 godzinę/H,Dotyk,"Usuwa ślady Kanciarza, oraz jednej dodatkowej osoby za każdy poziom Hexslingin'. Przy wyciągnięciu Asa chroni to przed znalezieniem za pomocą zmysłu wzroku, przy parze zapachu. Przy dwóch parach tworzy fałszywy trop. HOUSE RULE: przy rękach wyższych niż dwie pary jest szansa, że nie uda się wytropić Kanciarza nawet za pomocą Czarnej Magii (decyzja Szeryfa). Ghost Trail czasami pozwala nawet ukryć się przed Kantem Bloodhound (osoba tropiąca przy użyciu Bloodhound rzuca test sporny Hexslingin' przeciw osobie rzucającej Ghost Trail, Bloodhound działa tylko jeśli test sporny jest wygrany).",,,,,,,,,,,
Podstawka,Graveyard Mists,Cmentarne Mgły,Wiedza,As,2,Działa 10 minut/H,Zasięg 5 jardów/H,"Tworzy gęstą mgłę o promieniu do 40 jardów na poziom Hexslingin', i wysokości do 30 stóp. Wszystkie testy Cognition w obrębie mgły (nie tylko oparte o wzrok!) otrzymują karę -2, a maksymalna widoczność zależna jest od pociągniętej ręki.",20 y,10 y,10 y,10 ft,5 ft,2 ft,1 ft,Kara -3,Kara -4,Kara -5,Kara -6
Metal Mage,Grenade,Granat,Wiedza,Para,2,Działa natychmiast,Na siebie,"Tworzy pocisk wypełniony ładunkami wybuchowymi, którym można rzucić. Tak, jak dynamitem (przyrost zasięgu wynosi 5, podobnie Burst Radius). Granat zostaje zdetonowany przy uderzeniu w dowolną powierzchnię (nawet jeśli się go upuści).",-,K6 Tchu,2k4,2k6,3k8,4k8,5k10,6k10,7k10,7k12,7k20
Shootist,Hale 'n' Hearty,Jak Nowy,Spryt,As,2,Działa 1 minutę/H,Zasięg 1 jard/H,"Działa dokładnie tak samo jak Snake Oil, ale nie tworzy iluzji, że cel nie jest ranny. Inne efekty (pomijając czas rzucania i zasięg) są identyczne.",Ignoruje modyfikatory z 1 poziomu ran.,,Ignoruje 3 poziomy modyfikatorów.,Ignoruje 4 poziomy modyfikatorów.,Całkowicie ignoruje modyfikatory z ran.,,,,,,
Podstawka,Hard Water,Ciężka Woda,Duch,As,2,Koncentracja,Zasięg 5 jardów/H,"Ten Kant powoduje zgęstnienie wody. Na Parze woda staje się jak gdyby lepka – testy Swimmin' zapobiegające tonięciu nie są potrzebne, ale osoba znajdująca się pod wodą w momencie rzucania musi zdać test Swimmin' (PT 5) aby wypłynąć na powierzchnię. Wszystkie statki płyną o połowę wolniej.",,,,,,,,,,,
Metal Mage,Haywire,Zwarcie,Spryt,Para,1,Działa 1 minutę/H,Zasięg 20 jardów/H,"Kant wymusza natychmiastowy test Niezawodności szalonego wynalazku, a na wyższych rękach automatyczną Usterkę. Kant nie działa na normalne maszyny ani na eliksiry.",,,Test Niezawodności +4;,Drobna Usterka;,Większa Usterka;,,Katastrofa!,,,,
Hexarcana,Hell's Bargain,Piekielna okazja,Duch,As,1,Działa natychmiast,5 jardów/H,"Kant musi być rzucony na ciało kogoś, kto zginął w ciągu ostatniej rundy. Zwiększa on szansę na Wygrzebanie się celu. Ciągnie on dodatkowe karty (w liczbie zależnej od wyciągniętej przez Kanciarza ręki) w celu ustalenia, czy się Wygrzebał. Jeśli jednak NIE wygrzebie się, ciągnie tę samą, dodatkową liczbę kart jeszcze raz. Jeśli tym razem jedną z kart będzie Joker, cel Kanta staje się Walkin' Deadem. Odróżnienie Walkin' Deada od Wygrzebańca nie jest łatwą sprawą, nawet dla Kanciarza rzucającego Hell's Bargain.",1,3,4,5,7,11,13,17,31,23,27
Hexarcana,Hell's Fury,Piekielna furia,Duch,Para,1,2 Tchu/rundę,Na siebie,"Kant otacza rzucającego płomieniami. Choć ogień wychodzi bezpośrednio z ciała Kanciarza, nie robi żadnej krzywdy ani jemu, ani niczemu/nikomu kogo mógłby on dotknąć. Natomiast jeśli KTOŚ dotknie (z własnej woli) Kanciarza, otrzymuje obrażenia zależne od pociągniętej ręki. Co więcej, jeśli otrzyma minimum jedną ranę, zaczyna płonąć, otrzymując 2k8 obrażeń na turę.",-,1k6,2k6,3k6,4k6,5k8,6k8,7k8,8k10,9k10,10k12
Podstawka,Helpin' Hand,Pomocna Dłoń,Spryt,As,10 minut,Dziala stale,Zasięg 1 jard,"Pozwala Kanciarzowi wyleczyć kogoś (ale nie siebie!). Udane rzucenie zmniejsza poziom ran we wszystkich lokacjach o 1. Nie można w ten sposób przywrócić utraconych kończyn ani leczyć Wygrzebańców. Minimalna ręka do tego Kanta zależy od najwyższego poziomu ran celu: dla Tchu As, dla 1 rany Para Figur, dla 2 ran dwie pary, dla 3 ran trójka, dla 4 ran Strit.",Dech,,1 Rana,2 Rany,3 Rany,4 Rany,,,,,
Podstawka,Hex Sense,Wyczucie Kanta,Spostrzegawczość,As,1,Działa 1 rundę/H,Zasięg 25 jardów/H,"Rzucenie tego Kanta pozwala wykrywać nadnaturalne efekty (o ile znajdują się w zasięgu Kanta i polu widzenia). Przy Asie pozwala tylko wykryć ich istnienie. Przy parze możliwe jest określenie typu magii (Relikt, Cud, Kant, Czarna Magia etc.). Dwie pary pozwalają poznać ogólny cel magii (leczenie, pułapka, atak, ukrywanie się). Strit pozwala poznać dokładny efekt magii. Przy Kolorze znany jest pozostały czas trwania.",,,,,,,,,,,
Podstawka,Home Ground,U Siebie,Spostrzegawczość,As,2,Działa 1 godzinę/H,Na siebie,Daje Kanciarzowi wizję obszaru w którym się znajduje. Daje mu to umiejętność Area Knowledge dla danego obszaru na poziomie równym jego umiejętności Hexslingin'.,100 y,500 y,1 mila,2 mile,5 mil,10 mil,20 mil,50 mil,100 mil,200 mil,500 mil
Podstawka,Howl,Wyjec,Duch,As,1,Działa natychmiast,Na siebie,"Kanciarz wydaje z siebie okropny wrzask. Każdy w promieniu 10 jardów musi wykonać test Jaj (PT 7, osoby z Zawadą Bad Ears dostają premię +2 do tego testu). Każdy kto obleje test traci określoną ilość Tchu.",1k4,1k6,1k6,2k6,3k8,4k8,5k10,6k10,7k12,8k12,10k12
Podstawka,Hunch,Przeczucie,Spostrzegawczość,Dwie Pary,10 sekund,Działa natychmiast,Na siebie,"Po dotknięciu osoby, przedmiotu lub miejsca Kanciarz dostaje „przeczucie” związane z przeszłością celu. Im lepsza karta, tym wyraźniejsza, dłuższa i dokładniejsza wizja.",,,,,,,,,,,
Podstawka,Hunger Pangs,Kiszki Marsza...,Duch,As,1,Działa natychmiast,Zasięg 5 jardów/H,"Kanciarz wykonuje sporny test Ducha z ofiarą (dostaje premię za każdą rękę powyżej minimum). Jeśli Kanciarz wygra, ofiara traci różnicę testów w Tchu z powodu głodu. Dech nie może zostać obniżony poniżej 1, ale każda istota której Dech zostanie obniżony do tego poziomu traci zainteresowanie czymkolwiek poza znalezieniem czegoś do jedzenia – często w myśl zasady „cel uświęca środki”. Kant nie działa na Wygrzebańców i Abominacje.",0,2,4,6,8,10,12,14,16,18,20
Podstawka,Hurry Up!,Pośpiech,Spryt,As,1,Działa 1 rundę/H,1 jard,"Zwiększa liczbę jardów, jakie cel może przebyć w turze. Efekt ten jest dodawany PO uwzględnieniu biegania etc, jednak nie trzeba biec, by skorzystać z dodatkowych jardów.
Liczba uzyskanych dodatkowo jardów podana jest w tabeli pod opisami Kantów.
",+4 y,+8 y,+12 y,+16 y,+20y,+24y,+28 y,+32 y,+36 y,+40 y,+50 y
Podstawka,Impostor,Kameleon,Spryt,Para,1,Koncentracja lub 1 Tchu/rundę,Dotyk,"Pozwala znacząco zmienić wygląd Kanciarza by się pod kogoś podszyć. Możliwa jest nawet zmiana płci, jednak nie można znacząco zmienić rozmiaru. Kant daje +5 do testu Disguise, +2 za każdą rękę powyżej minimum.",-,5,7,9,11,13,15,17,19,21,23
Podstawka,Incognito,Incognito,Spryt,As,1,Koncentracja,Dotyk,"Chroni cel zasłoną magii, sprawiającą, że inni ignorują jego istnienie, chyba że zdadzą test Ducha o PT zależnym od ręki. Jeśli cel zwraca na siebie uwagę, wykonuje działania trudne do zignorowania lub jest wskazany innym przez kogoś, kto już go zauważył, każdy kto próbuje przejrzeć Incognito dostaje premię +5 do testu Ducha.",3,5,7,9,11,13,15,17,19,21,23
Metal Mage,Infernal Machine,Piekielna maszyna,Spryt,Dwie Pary,1 minuta,1k4 Tchu/rundę,Dotyk,"Pozwala błyskawicznie (w minutę) skonstruować ze sterty złomu szalony wynalazek (nie da się skonstruować „normalnej” maszyny ani urządzenia, np. zwykłego pistoletu). Utrzymywanie wynalazku, by się nie rozleciał wymaga k4 Tchu w każdej rundzie. Kanciarz nie wie dokładnie jak wynalazek działa, i nie potrafi go skonstruować w przyszłości normalnymi metodami.",,,,"Niewielkie (10%) ulepszenie istniejącej technologii (amunicja przeciwpancerna, karabin snajperski, wyrzutnia noży);","Znaczne (25%) ulepszenie istniejącej technologii (tłumik, 25% szybsza lokomotywa, pompa próżniowa);","Proste, ale innowacyjne zastosowanie istniejącej technologii (piła łańcuchowa, buty rakietowe, miotacz ognia);",,,"Nowa, ale „realistyczna” technologia (jetpack, łódź podwodna, ornitopter);",,Technologia łamiąca prawa nauki (promień kontrolujący umysły).
Podstawka,Interpret,Tłumaczonko,Spostrzegawczość,As,2,Działa 5 minut/H,Na siebie,"Pozwala zrozumieć język, którego Kanciarz nie zna (nie można użyć Kanta by poprawić swoją umiejętność posługiwania się już znanym językiem). As pozwala zrozumieć ogólną intencję mówiącego, Para daje umiejętność Language na poziomie 1, Dwie Pary – na poziomie 2 i tak dalej.",,,,,,,,,,,
Shootist,Iron Fist,Żelazna Pięść,Spryt,As,1,Działa 1 rundę/H,Na siebie,"Zwiększa ilość obrażeń od Tchu zadawanych przy nieuzbrojonej walce wręcz. Minimalna ręka dodaje +3 do zadanego Tchu, każda ręka powyżej minimum kolejne +3.",3,6,9,12,15,18,21,24,27,30,33
Metal Mage,Jerry-Rig,Improwizacja,Spryt,Para,2,Działa minutę/H,Dotyk,"Pozwala prowizorycznie (na czas trwania Kanta) naprawić uszkodzenia pojazdów, maszyn i szalonych wynalazków. Można w ten sposób odzyskać utraconą Niezawodność lub Durability (wybór Kanciarza) maszyn. Pozwala to naprawić zniszczenia, przywrócić sprawność zepsutym mechanizmom, a nawet załatać dziury. W momencie, gdy Kant kończy działanie, wszystko wraca do stanu pierwotnego. Jerry-Rig nigdy nie zwiększy Niezawodności ani Durability powyżej oryginalnego poziomu.",-,"1 Niez.
5 Dur.","2
10","3
15","4
25","6
35","8
45","10
55","12
70","15
85","20
100"
Podstawka,Kentucky Windage,Kule Noszone Przez Boga,Spryt,As,1,Działa 1 rundę/H,Zasięg 1 jard,"Można rzucić ten Kant na siebie lub towarzysza. Sprawia on, że wszystkie jedynki w teście obrażeń zadanych przez broń palną są przerzucane, a za każdą pociągniętą rękę negowane są 2 punkty ujemnych modyfikatorów do Shootin' (ale nie modyfikatory z Siekania). Kant nie daje premii, kasuje tylko kary.",2,4,6,8,10,12,14,16,18,20,22
Shootist,Knife Through Butter,Jak Nóż w Masło,Spostrzegawczość,Para,1,Działa 1 rundę/H,Na siebie,"Kant rzuca się na konkretną spluwę (kiedy skończą się naboje lub Kanciarz straci spluwę, trzeba rzucać Kant od nowa), dając zawartej w niej amunicji Armor Piercing. Minimalna ręka daje AP 1, każde dwie ręce powyżej minimum dają dodatkowe AP 1.",-,1,2,3,4,5,6,7,8,9,10
Podstawka,Lethargy,Stupor,Duch,As,1,Działa 5 minut/H,Zasięg 5 jardów/H,"Zniechęca każdego w zasięgu, kto nie zda testu Ducha o PT zależnym od pociągniętej ręki do jakiegokolwiek działania. Osoby pod wpływem Kanta tracą motywację do podejmowania drastycznych działań. Kant może działać słabiej lub wcale na osoby silnie zdeterminowane lub pod wpływem silnych emocji.",3,5,7,9,11,13,15,17,19,21,23
Shootist,Load'em Up!,Ładuj do Pełna,Spryt,Para,1,Działa natychmiast,Dotyk,"Ładuje broń. Minimalna ręka ładuje 6 pocisków, każda ręka powyżej minimum dodatkowe 6. Aby Kant zadziałał, Kanciarz musi mieć przy sobie wystarczającą liczbę pocisków.
Dokładna liczba załadowanych pocisków podana jest w tabeli pod opisami Kantów.
",-,6,12,18,24,30,36,42,48,54,60
Shootist,Loaded for Bear,Chodzący Arsenał,Spostrzegawczość,As,2,1 Tchu/rundę,Na siebie,"Zwiększa typ kostki obrażeń zadawanych przez daną broń. Na minimalnej ręce zwiększa o 1 typ kostki, każde 2 ręce powyżej tego oznaczają zwiększenie o dodatkowy typ kości obrażeń.",1,1,2,2,3,3,4,4,5,5,6
Podstawka,Long-Winded,Dalekomysł,Spostrzegawczość,As,2,Działa 1 rundę/H,Zasięg 1 mila/H,"Pozwala wysłać telepatyczną wiadomość w zasięgu Kanta. Kanciarz decyduje, do kogo wysyła wiadomość. Jeśli wiadomość nie dojdzie (np. cel nie jest w zasięgu), Kanciarz nie wie o tym.",,,,,,,,,,,
Shootist,Longbarrel Special,Długa Lufa,Spryt,Para,1,1 Tchu/rundę,Dotyk,Zwiększa zasięg broni. Minimalna ręka zwiększa zasięg o 5. Każde dwie ręce powyżej minimum zwiększają go o dodatkowe 5.,-,5,5,10,10,15,15,20,20,25,25
Podstawka,Looking Glass,Lustereczko,Spostrzegawczość,Dwie Pary,2,Działa 1 minutę/H,Zasięg 5 mil/H,"Pozwala spojrzeć w lustro i wyjrzeć z innego lustra w zasięgu. Po pociągnięciu Dwóch Par pozwala tylko patrzeć, przy Trójce również słyszeć dźwięki. Przy Fulu można nawet przejść przez lustro jak przez portal (o ile jest odpowiednio duże – lecz nawet jeśli nie, może np. przełożyć przez nie rękę). Portal działa przez czas działana Kanta. Jeśli lustro zostanie stłuczone w momencie przechodzenia, Kanciarz dostaje 4k8 obrażeń we Flaki.",,,,,,,,,,,
Metal Mage,Mad Insight,Szalone Olśnienie,Duch,As,1,Działa natychmiast,1 jard,"„inspiruje” Szalonego Naukowca przy pomocy Manitou. Pozwala to na wyciągnięcie dodatkowej karty (lub kart) podczas projektowania wynalazku. Jeśli jednak przy rzucaniu Mad Insight przydarzy się Backlash, urządzenie ma Wadę Konstrukcyjną (a co to znaczy, to już wie Szeryf).",1,2,3,4,5,6,7,8,9,10,11
Metal Mage,Magazine,Magazynek,Wiedza,Para,1,1 Tchu/rundę,Zasięg 10 jardów,"Dopóki Kant działa, broń będąca jego celem ma nieograniczoną ilość amunicji (przy każdym wystrzelonym pocisku nowy pojawia się znikąd w pustej komorze). Kiedy Kant skończy się, broń ma dokładnie tyle nabojów, co tuż przed jego rzuceniem. Kant nie wpływa na parametry broni ani jej szybkostrzelność, po prostu sprawia, że można z niej strzelać bez ograniczeń.",,,,,,,,,,,
Metal Mage,Magic Bullet,Magiczny pocisk,Spryt,Para,1,Działa 2 rundy/H,Zasięg 5 jardów,"Przemienia jedną kulę do pistoletu lub karabinu (żadnych innych pocisków) w magiczną kulę. Jeśli kula trafi cel, leci od niego do następnego celu. Zamiast nowego testu Shootin' należy wykonać test Hexslingin' oparty o Smarts (z normalnymi modyfikatorami za odległość etc.). Kula jest traktowana, jakby była wystrzelona od ostatniej trafionej osoby. Jeśli kula chybi któryś kolejny cel, Kant przestaje działać.",-,1,2,3,4,4,5,5,5,5,6
Metal Mage,Magnetize,Magnetyzacja,Duch,As,1,Działa 1 rundę/H,Zasięg 10 jardów/H,"Magnetyzuje 1 metalowy przedmiot o wadze nie większej niż 25 funtów na poziom Kantowania. Inne metalowe przedmioty przywierają do niego i wymagają testu Siły (o PT zależnym od pociągniętej ręki), by dało się je oderwać. Przyciągane są wszystkie przedmioty w odległości (w stopach) mniejszej lub równej niż PT testu Siły. Przedmioty większe niż namagnesowany obiekt nie zbliżają się, za to przyciągają go do siebie!",3,5,7,9,11,13,15,17,19,21,23
Podstawka,Martyr's Mirror,Nie Czyń Drugiemu,Duch,As,1,Działa 2 rundy/H,Na siebie,"Jeśli w trakcie działania Kanta Kanciarz otrzyma obrażenia, zadający mu obrażenia otrzyma tyle samo obrażeń (nie poziomów ran!). Zapobiegnięcie otrzymaniu obrażeń (np. za pomocą Kanta Bodyguard lub Sztonów) sprawia, że nie zostają one również odbite. Obrażenia są magiczne i wywierają efekt nawet na duchy, Abominacje etc. Maksymalna liczba obrażeń, jakie można odbić w jednej rundzie zależy od pociągniętej ręki. Lokacja jest ta sama co obrażeń zadanych Kanciarzowi.",6,12,12,18,30,42,48,60,70,80,100
Podstawka,Mind Tweak,Podkręcenie Umysłowe,Spryt,Para,1,Koncentracja lub 1 Tchu/rundę,Zasięg 5 jardów/H,Zwiększa jedną z Cech Umysłowych celu.,-,+/-1,+/-1,+/-2,+/-3,+/-4,+/-5,+/-6,+/-7,+/-8,+/-10
Podstawka,Mind Twist,Przykręcenie Umysłowe,Spryt,Para,1,Koncentracja lub 1 Tchu/rundę,Zasięg 5 jardów/H,"Zmniejsza jedną z Cech Umysłowych celu. Jeśli cecha spadnie do k4, zmniejsza się liczba kostek w niej, aż do 1k4.",-,+/-1,+/-1,+/-2,+/-3,+/-4,+/-5,+/-6,+/-7,+/-8,+/-10
Podstawka,Mirage,Ułuda,Spryt,Para,2,Koncentracja lub 1 Tchu/rundę,Zasięg 5 jardów/H,"Pozwala stworzyć nieruchomą iluzję nieożywionych przedmiotów (i roślin) na obszarze do 200 stóp kwadratowych na poziom Kantowania. Iluzję można swobodnie przesuwać w obrębie zasięgu Kanta. Iluzja oszuka każdego, chyba że ma dobry powód przypuszczać, że jest ona nieprawdziwa – wtedy przysługuje mu test Cognition (PT 9). Dotknięcie iluzji automatycznie, bez testu, pozwala stwierdzić że jest nieprawdziwa.","Jeden jednolity obiekt (mur, kałuża błota);",,"Jeden bardziej skomplikowany przedmiot (strzelba, martwe drzewo, wagon kolejowy);","Jeden skomplikowany przedmiot (karabin Gatlinga, umeblowany pokój, pojedyncze żywe drzewo) lub więcej prostych przedmiotów;","Wiele dość różnorodnych przedmiotów (w pełni umeblowany pokój, ogród);","Wiele złożonych przedmiotów (budynek, pociąg);",,,,,Bez ograniczeń.
Hexarcana,"Mirror, Mirror",Lustereczko powiedz przecie,Spryt,Dwie Pary,2,1 Tchu/rundę,Zasięg 5 jardów/H,"Jeśli Kanciarz pokona cel w spornym teście Ducha (otrzymuje premię +2 za każdą rękę powyżej minimum), może zamienić się z celem na jedną, wybraną przez siebie cechę na czas trwania Kanta. Kant działa tylko na ludzi i „prawie ludzi” (Wygrzebańców).
Jeśli gracz nie jest pewien, jakie cechy ma oponent, Szeryf może pozwolić na test Smarts (PT 5 dla cech Fizycznych, PT 9 lub więcej dla Umysłowych). W przypadku cech Umysłowych jest to jednak możliwe tylko wtedy, gdy Kanciarz miał dłuższą styczność z daną osobą (trudno zgadnąć wartość cechy Smarts u kogoś, kogo pierwszy raz widzi się na oczy).
Premia dawana Kanciarzowi do spornego testu Ducha podana jest w tabeli pod opisami Kantów.
",,,,,,,,,,,
Podstawka,Missed Me!,Pudło!,Duch,Dwie Pary,1,Koncentracja lub 1 Tchu/rundę,Na siebie,"Sprawia, że atak (nie-obszarowy) wycelowany w Kanciarza zostaje odbity w bok (działa na pociski, Soul Blast czy Black Lightnin' etc.). PT trafienia zwiększa się o 5.",,,,,,,,,,,
Podstawka,Necromancer,Nekromanta,Duch,Dwie Pary,1,Działa 5 rund/H,Zasięg 1 jard,"Jeśli rzucony na osobę zmarłą nie więcej rund temu niż wynosi poziom Hexslingin' Kanciarza, Kant ten przywraca tę osobę do życia – niestety, tylko tymczasowo. Przez czas trwania Kanta osoba ta normalnie żyje, choć nie można jej w żaden sposób leczyć ani powstrzymać jej ponownej – tym razem permanentnej – śmierci.",,,,,,,,,,,
Shootist,New Slugs for Old,Siekierkę na Kijek,Spryt,As,1,Działa stale,Dotyk,"Zmienia pociski w dowolny inny typ pocisków. Efekt Kantu jest trwały. Minimalna ręka zmienia 3 pociski, każda ręka powyżej minimum kolejne 3.",3,6,9,12,15,18,21,24,27,30,33
Podstawka,Nightmare Realm,W Krainie Koszmaru,Duch,As,1,Działa 1 minutę/H,Zasięg 15 jardów/H,"Zwiększa Poziom Strachu w zasięgu Kantu. Przy Asie dodaje 1 PS, przy parze +2, przy parze Waletór +3, przy Dwóch Parach +4, przy Trójce +5. Agencja i Pinkertoni, którzy znajdą Kanciarza rzucającego ten Kant najpierw strzelają, potem zadają pytania. Zawsze.",,,,,,,,,,,
Podstawka,Old-Timer,Matuzalem,Duch,Para,1 dzień,Dziala stale,Na siebie,"Udane rzucenie tego Kanta sprawia, że przez następny rok Kanciarz nie będzie się starzeć (pomijając nadnaturalne efekty). Backlash, poza innymi efektami, powoduje momentalne postarzenie się o rok.",,,,,,,,,,,
Podstawka,Parch,Suszka,Duch,As,1,Działa natychmiast,Zasięg 15 jardów/H,"Powoduje odwodnienie jednego celu (utrata Tchu, który można odzyskać w tempie ok. 1k6 Tchu na kwartę wody – można tyle wypić mniej więcej co godzinę). Efektem ubocznym Kanta jest wysychanie i umieranie roślin w zasięgu Kanta.","1, trawa;",,,"1k6, kukurydza;","2k6, krzaki;","4k6, młode drzewka;","5k6, drzewa;",,"7k6, kaktusy;",,"10k6, wszystko."
Podstawka,Pardners,Kumple,Wiedza,Para Figur,1,Działa natychmiast,Zasięg 3 jardy,"Kant Pardners rzuca się tuż przed rzuceniem innego Kanta przez grupę Kanciarzy. Wszyscy (wliczając rzucającego Pardners) muszą znać rzucany Kant (ale nie muszą znać Pardners). Każda karta wydana na rzucanie Kanta musi też być taka sama (np. walet kier – zwykle wystarczy chowanie kart do rękawa). Kiedy już wszyscy Kanciarze rzucą (jednocześnie) Kant, każdy z nich ciągnie karty normalnie. Kant jest de facto rzucany przez Kanciarza, który rzucił Pardners (jeśli wymaga koncentracji, to tylko od niego, to on decyduje o celu, od jego poziomu Kantowania zależą efekty i tak dalej). Jednak za każdych dwóch innych Kanciarzy, którzy pociągnięli co najmniej minimalną rękę, ręka głównego rzucającego jest zwiększana o poziom (o ile Kant mu wyszedł). Na przykład jeśli główny rzucający pociągnie dwie pary, a dwóch wspierających go Kanciarzy ma minimum minimalną rękę do danego Kanta, to Kant jest rzucany tak, jakby główny rzucający pociągnął trójkę.
Jeśli jeden z rzucających Kant będzie miał backlash, będą go mieli wszyscy rzucający. Backlash w samym Pardners nie szkodzi „pomocnikom” głównego rzucającego.",,,,,,,,,,,
Podstawka,Penetratin' Gaze,Przejrzenie,Spostrzegawczość,As,1,Koncentracja lub 1 Tchu/rundę,Zasięg 25 jardów/H,"Pozwala widzieć przez ciemność, mgłę, a na wyższych poziomach także przez materialne obiekty. Likwiduje to kary do testów Cognition, kary do Shootin' z osłony i tak dalej.",Ciemność;,,"Dym, mętną wodę;","Grube tkaniny (zasłony, skórzany płaszcz), magiczne iluzje;",Dwa cale drewna;,Cal metalu;,3 cale metalu;,,,,Gruba blacha ze stali upiorytowej.
Podstawka,Penny Ante,Małe Stawki,Spryt,As,1,Działa 1 rundę,Zasięg 5 jardów/H,"Zmniejsza PT dowolnego testu (uwaga: nie likwiduje modyfikatorów, wpływa tylko na bazowy PT). PT spada o 2, plus 2 za każdą rękę poniżej minimum, oraz nie może być nigdy zmniejszony poniżej 3.",-2,-4,-6,-8,-10,-12,-14,-16,-18,-20,-22
Podstawka,Phantasm,Fantasmagoria,Spryt,As,1,Działa natychmiast,Zasięg 5 jardów/H,"Ofiara Kantu doznaje przerażającej wizji (której nie widzi nikt poza nią), pochodzącej z jej najstraszniejszych koszmarów. Ofiara musi rzucić na Jaja przeciw Terrorowi zależnemu od pociągniętej ręki, lub grozi jej normalny efekt oblanego testu Terroru. Wygrzebańcy mają -2 do swojego testu Jaj.",3,5,7,9,11,13,15,17,19,21,23
Podstawka,Phantom Fingers,Niewidzialna Ręka,Duch,As,1,1 Tchu/rundę,Zasięg 5 jardów/H,"Pozwala manipulować na odległość przedmiotem, o ciężarze zależnym od pociągniętej ręki. Pozwala to dość swobodnie poruszać przedmiotami o ciężarze właściwym dla danej ręki, lub lekko popchnąć przedmioty o ciężarze do dwóch rąk większym. Jeśli Kanciarz próbuje wyrwać coś komuś z ręki, musi wykonać sporny test Ducha przeciw Sile trzymającego przedmiot (Kanciarz dostaje +2 za każdą rękę powyżej wymaganego minimum).",Piłka baseballowa;,,"Strzelba, karabin;",Karabin Gatlinga;,Człowiek;,Żelazny sejf;,Dyliżans;,,Naładowany wagon pociągu;,,Załadowany pociąg.
Podstawka,Playin' Possum,Zdechł Pies,Spryt,As,1,Działa 10 minut/H,Dotyk,"Ten Kant można rzucić na siebie lub inną osobę. Na ciele celu pojawia się iluzoryczna śmiertelna rana (zwykle pasująca wyglądem do ostatnio otrzymanych obrażeń). Dopóki cel pozostaje nieruchomy, wygląda jak martwy. Każdy kto próbuje przejrzeć tę maskaradę musi wykonać sporny test Medycyny przeciw Sprytowi Kanciarza (Kanciarz otrzymuje premię +2 za każdą rękę powyżej minimum). Kant można zakończyć w dowolnym momencie.",,,,,,,,,,,
Podstawka,Poltergeist,Poltergeist,Duch,As,1,Działa natychmiast,Zasięg 10 jardów/H,"W zasięgu Kanta pojawia się wir energii, porywający wszystkie przedmioty do określonej wagi (zależnej od pociągniętej ręki). Przedmioty wirują po pomieszczeniu, wszystkie delikatne przedmioty zostają zniszczone. Każdy kto znajduje się w zasięgu wiru otrzymuje Brawlin' damage zależny od najcięższych przedmiotów unoszących się w powietrzu:","Szklanki do whisky, sztućce, 1k6;",,"Duże książki, 3k6;","Dachówki, 5k6;","Lekkie meble, 5k8;","Półki z książkami, biurka, 6k8;","Duże kamienie, 8k8;",,,,
